insert	fb	family	suborder	order	class
TRANSIB2	FBgn0063371	transib2	IR	TIR	DNA
GYPSY5	FBgn0063432	gypsy5	LTR	LTR	RNA
GYPSY6	FBgn0063431	gypsy6	LTR	LTR	RNA
INVADER5	FBgn0063426	invader5	LTR	LTR	RNA
DIVER2	FBgn0063439	diver2	LTR	LTR	RNA
TRANSIB4	FBgn0063369	transib4	IR	TIR	DNA
S2	FBgn0063466	S2	IR	TIR	DNA
DM88	FBgn0062343	Dm88	LTR	LTR	RNA
JUAN	FBgn0046110	Juan	non-LTR	non-LTR	RNA
FROGGER	FBgn0061513	frogger	LTR	LTR	RNA
ROVER	FBgn0061485	rover	LTR	LTR	RNA
DMTOM1_LTR	FBgn0063450	Tom1	LTR	LTR	RNA
G5_DM	FBgn0063504	G5	non-LTR	non-LTR	RNA
G4_DM	FBgn0063505	G4	non-LTR	non-LTR	RNA
ROOA_LTR	FBgn0063394	rooA	LTR	LTR	RNA
JOCKEY2	FBgn0063425	jockey2	non-LTR	non-LTR	RNA
G6_DM	FBgn0063503	G6	non-LTR	non-LTR	RNA
LOOPER1_DM	FBgn0063402	looper1	IR	TIR	DNA
AF418572	FBgn0046701	Penelope	non-LTR	non-LTR	RNA
QBERT	FBgn0063782	accord2	LTR	LTR	RNA
McCLINTOCK	FBgn0063917	McClintock	LTR	LTR	RNA
STALKER4	FBgn0063897	Stalker4	LTR	LTR	RNA
HOPPER2	FBgn0067381	hopper2	IR	TIR	DNA
STALKER2	FBgn0063455	Stalker2	LTR	LTR	RNA
STALKER3	FBgn0063454	Stalker3	LTR	LTR	RNA
AF541951	FBgn0064134	Bari2	IR	TIR	DNA
DME487856	FBgn0063919	Max-element	LTR	LTR	RNA
BS3	FBgn0067624	BS3	non-LTR	non-LTR	RNA
BS4	FBgn0067624	BS4	non-LTR	non-LTR	RNA
DOC4	FBgn0069587	Doc4-element	non-LTR	non-LTR	RNA
DOC5	FBgn0015786	Porto1	non-LTR	non-LTR	RNA
FW2	FBgn0067421	Fw2	non-LTR	non-LTR	RNA
FW3	FBgn0067420	Fw3	non-LTR	non-LTR	RNA
HELITRON1_DM	FBgn0067418	Helitron	Helitron	Helitron	Helitron
R1-2	FBgn0067405	R1-2	non-LTR	non-LTR	RNA
TC1-2	FBgn0069340	Tc1-2	IR	TIR	DNA
G5A	FBgn0069433	G5A	non-LTR	non-LTR	RNA
G7	FBgn0067419	G7	non-LTR	non-LTR	RNA
GYPSY7	FBgn0067384	gypsy7	LTR	LTR	RNA
GYPSY8	FBgn0067383	gypsy8	LTR	LTR	RNA
GYPSY9	FBgn0067382	gypsy9	LTR	LTR	RNA
GYPSY10	FBgn0067387	gypsy10	LTR	LTR	RNA
GYPSY11	FBgn0067386	gypsy11	LTR	LTR	RNA
GYPSY12	FBgn0067385	gypsy12	LTR	LTR	RNA
INVADER6	FBgn0067385	invader6	LTR	LTR	RNA
HEL	FBgn0020425	Helena	non-LTR	non-LTR	RNA
TC3	FBgn0061191	Tc3	IR	TIR	DNA
Beagle2	FBgnnnnnnnn	HMS-Beagle2	LTR	LTR	RNA
Q	FBgn0063900	Q-element	non-LTR	non-LTR	RNA
OSV	FBgn0063755	Osvaldo	LTR	LTR	RNA
DME542581	FBgn0069343	TAHRE	non-LTR	non-LTR	RNA
