query_sequence	position_in_query_begin	position_in_query_end	strand	position_in_repeat_begin	position_in_repeat_end	strain
CM034791.1	26085946	26090635	+	3	4668	RAL176
CM034791.1	26090613	26091142	+	4723	5242	RAL176
CM034791.1	26090823	26091205	+	1	343	RAL176
CM034791.1	26093914	26098595	+	3	4669	RAL176
CM034791.1	26098537	26099116	+	4679	5258	RAL176
CM034791.1	26652532	26653093	C	4701	5258	RAL176
CM034791.1	26653060	26653399	C	4325	4669	RAL176
CM034791.1	26653288	26657805	C	2	4514	RAL176
CM034791.1	26659753	26660648	C	4325	5258	RAL176
CM034791.1	26660544	26665052	C	2	4514	RAL176
CM034791.1	27729216	27729440	+	4322	4514	RAL176
CM034791.1	27729271	27729443	+	4336	4478	RAL176
CM034791.1	28810296	28814971	+	2	4667	RAL176
CM034791.1	28814953	28815484	+	4724	5258	RAL176
CM034791.1	29109212	29109779	C	4691	5258	RAL176
CM034791.1	29109731	29109990	C	4403	4669	RAL176
CM034791.1	29109879	29114337	C	2	4436	RAL176
CM034791.1	29119975	29120539	C	4692	5258	RAL176
CM034791.1	29120494	29120757	C	4403	4669	RAL176
CM034791.1	29120644	29125105	C	2	4436	RAL176
CM034792.1	562946	563181	C	4338	4609	RAL176
CM034792.1	563095	563247	C	4338	4514	RAL176
CM034792.1	563161	563313	C	4338	4514	RAL176
CM034792.1	563227	563379	C	4338	4514	RAL176
CM034792.1	563326	565770	C	2054	4514	RAL176
CM034792.1	2986406	2986467	C	2653	2714	RAL176
CM034792.1	3378800	3381238	+	2054	4514	RAL176
CM034792.1	3381152	3381304	+	4338	4514	RAL176
CM034792.1	3381218	3381370	+	4338	4514	RAL176
CM034792.1	3381317	3381547	+	4338	4609	RAL176
CM034792.1	28767943	28772654	+	2	4669	RAL176
CM034792.1	28772597	28773180	+	4679	5258	RAL176
CM034792.1	30814687	30815228	C	4718	5258	RAL176
CM034792.1	30815199	30819885	C	2	4669	RAL176
CM034792.1	30823650	30824202	C	4701	5258	RAL176
CM034792.1	30824169	30828853	C	2	4669	RAL176
